Comments,Image,Avatar_URL,Date of Review,Name of Reviewer,Location,phmbo,phmbo1,qwuub_URL,Comment Title,Date of Stay,Response from hotel staff,Response time,Response comment,
"Clean and good service but the overall decoration is a bit tired.  An overhaul for modernisation is rather needed.  It was a 6 nights stay.   We paid premium towards the space and the convenience of this hotel, being in the city center.     Initially on the low floor and the smell from the kitchen was a true nuisance.  Hotel staff helpfully relocated us to other rooms on high floor once alternative rooms became available (after spending 4 nights, with 2 more to go).  An interesting point noted though is the inconsistency of decoration in the same type of room (we literally moved two flights up).  One bathroom had its toilet roll rack missing ...",,https://www.tripadvisor.co.uk/Profile/bona_tiger,Bona T wrote a review Nov 2022,Bona T,,273 contributions,74 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r867710946-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Very convenient location but room decoration needs to upgrade,Date of stay: September 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 8 Nov 2022",Responded 8 Nov 2022,"5* for location & Service.   On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you enjoyed the location & service as this is something we pride ourselves on.  During your stay we did have an extracting issue within the kitchen, and I am pleased to say this has now been resolved.   the hotel has been upgraded recently in the style that complements our Victorian heritage we do appreciate everyone has different tastes when it comes decor as you can see from previous reviews this has gone down well with the majority of guests who stay with us,     We appreciate you taking the time to share your feedback and staying with us, and we look forward to seeing you again soon.",
"This hotel had the best car park of which you can come and go as many times as you like and you can access the hotel directly from the car park in the lift  Not many places in Bristol have this facility so certainly worth the £17 fee to park  Beautiful interior everywhere and classy and clean  We were upgraded to a junior suite as it was a special occasion and the room was amazing  Lots of space, a sofa and 2 comfy chairs  A huge bed with a stand out ceiling feature which was very unusual All around large windows with great views of the harbour  Huge bathroom with lovely lighting and large bath and shower with 2 seperate heads  Complimentary wine and chocolates waiting for us  Large tv and a dresser with a large mirror  Would highly recommend and we will stay again  The room",,https://www.tripadvisor.co.uk/Profile/146DDL,DinkyDolly L wrote a review Nov 2022,DinkyDolly L,"Clayton le Dale, United Kingdom",986 contributions,479 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r867694683-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Superb stay for husbands birthday,Date of stay: November 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 8 Nov 2022",Responded 8 Nov 2022,"Superb!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you found our hotel Superb and that you enjoyed staying with us for such a special occasion.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"Stayed here for a work event. Finally got the opportunity to stay myself as I’m always booking for others to stay here for work. Beautiful hotel right in the heart of Bristol. Hotel check in was courteous and staff very friendly. Nothing was too much trouble.  Hotel decor is a mixture of elegance with modern graffiti art prints dotted around.   Bar staff were great as well.  My room was on the 4th floor - and a very good size. Bathroom and shower were a good size and had plenty of hot water. Shampoo, conditioner and shower gel all provided for you and a good brand - The Works. Tea, coffee, water all in the room and all of good quality. Lifts were all light and bright and quick to get you to your floors.   Breakfast was great - everything and anything to suit all tastebuds.  Car",,https://www.tripadvisor.co.uk/Profile/amandamN2175HR,Amanda M wrote a review Nov 2022,Amanda M,"Basingstoke, United Kingdom",44 contributions,21 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r867046643-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Beautiful Hotel,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 3 Nov 2022",Responded 3 Nov 2022,"Beautiful!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you found our hotel Beautiful.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"Used the hotel car park (spaces are small for a larger car!), route to reception was clearly signposted and then quick check in and up to our room on the 4th floor. Room felt warm and inviting. Tiny housekeeping issue, which they resolved immediately. Had an evening meal away from the hotel (have previously eaten at Miller and Carter here which was very good). Returned to the room which was quiet despite a lot of noise outside (it was halloween) and had a good nights sleep in a very comfortable bed. Bathroom was good, plenty of hot water although shower maybe lacked a little pressure. Had breakfast delivered to the room - it was spot on time, delicious, still hot and so much of it! Genuinely felt sad that we had only stayed one night and had to leave and go to work. Cannot wait",,https://www.tripadvisor.co.uk/Profile/WellWelshWatkins,WellWelshWatkins wrote a review Nov 2022,WellWelshWatkins,"Magor, United Kingdom",53 contributions,20 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r866942088-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Great stay,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 2 Nov 2022",Responded 2 Nov 2022,"Great!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read how much you enjoyed staying with us.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"Perfect location for restaurants shops, riverside. Comfortable clean room, beautiful luxury hotel decor, helpful staff.  All of this at a great price, excellent value for money, highly recommend.   Car park £17 from arrival until midnight next day.",,https://www.tripadvisor.co.uk/Profile/kellyw37,Kelly W wrote a review Oct 2022,Kelly W,,33 contributions,26 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r866319888-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Location location location,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 2 Nov 2022",Responded 2 Nov 2022,"Perfect Location!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read how much you enjoyed staying with us we are lucky to have such a great location with carparking.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"One night stay following a visit to Bristol Hippodrome.   1. Fantastic location for the hippodrome Elsa than 5 minute walk 2. City centre parking - challenging to find if you hadn’t read previous reviews. If looking directly at the hotel the car park is to the left, through an arch. Don’t pay prices within the car park as this is charged to room and discounted to £16 for overnight compared to the advertised price of £34 3. Miller and Carter restaurant on site! 4. The hotel had amazing decor. The room themselves were modern. Water and coffee in the room. Also made use of the iron and ironing board. The only negative were the noisy neighbours 5. Breakfast - self service buffet English breakfast and continental. Only downside was the wait for coffee, I’d almost finished my",,https://www.tripadvisor.co.uk/Profile/sambX8941CE,Sam B wrote a review Oct 2022,Sam B,,16 contributions,7 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r866319122-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Top Location,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 2 Nov 2022",Responded 2 Nov 2022,"Top Location!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read how much you enjoyed staying with us we are lucky to have such a great location.  We apologies about the coffee delay and we have given this feedback to Miller & Carter.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"Beautiful hotel, clean rooms. Lovely staff. Perfect location. Gave our kids a Marriott activity pack and teddy upon arrival, food and drinks excellent. Will definitely return. Thank you for a great stay.",,https://www.tripadvisor.co.uk/Profile/beckypA9977BZ,Becky P wrote a review Oct 2022,Becky P,"Isle of Man, United Kingdom",4 contributions,3 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r865960271-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Wonderful,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 2 Nov 2022",Responded 2 Nov 2022,"Wonderful!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read how much you enjoyed staying with us and that your little ones enjoyed the activity packs.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
I’m always made to feel welcome at the Royal.  hotel .  The rooms have all been renovated and are very comfortable . The front office staff are always helpful and friendly . The hotel is very well located.   I will be back soon.  ,,https://www.tripadvisor.co.uk/Profile/TonyBLondonUK,Tony wrote a review Oct 2022,Tony,,2 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r865097389-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Another lovely stay ,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 2 Nov 2022",Responded 2 Nov 2022,"Return Guests!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you always feel welcome when staying with us.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"I had the unfortunate cause of needing to come to Bristol to visit my daughter who had unexpectedly been admitted to hospital. I booked one night, with the expectation that she would be discharged the next day. This sadly did not happen, nor the next day nor the next... Kim on reception was absolutely wonderful. Each day she arranged for me to keep the same room, with a late check out of 4pm at no extra charge. She was efficient, empathetic, warm and genuinely concerned for my daughter’s health. She really made a horrible situation so much more bearable. Nothing was too much trouble. The housekeeping staff were also amazing- as I was unsure if I would be staying or going for a few days, they made up my room for me on demand, at varying times of the day. I have to say this was",,https://www.tripadvisor.co.uk/Profile/JoozUK,JoozUK wrote a review Oct 2022,JoozUK,"London, United Kingdom",291 contributions,108 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r865046715-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Absolutely perfect!,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 2 Nov 2022",Responded 2 Nov 2022,"Perfect!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read such an amazing review; Kim was so pleased to read this thank you.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"My husband and I stayed for one night on October 8th, and it was in all honesty the best night stay we have had in a hotel in the UK to date.  It was absolutely Faultless, the parking was great, the reception staff very friendly, the decor was perfection, the hotel was so clean with the best location too.  Miller and Carter we were served by “ED” he was so friendly and welcoming, the service was again faultless I cannot wait to rebook and stay again soon.",,https://www.tripadvisor.co.uk/Profile/Sara_CM92,Sara_CM92 wrote a review Oct 2022,Sara_CM92,United Kingdom,8 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r864730359-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Best Night Stay In The UK,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 2 Nov 2022",Responded 2 Nov 2022,"Best hotel in the UK!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read how you found the hotel faultless.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"Excellent from top to bottom! Location, well lit car park, beautiful hotel, rooms, wonderful shower, perfect temperature room, super comfy bed and lovely linen. Lovely reception and lounge areas and wonderful breakfast, sad we didnt stay longer to have a steak for dinner!... We will return again and again!!",,https://www.tripadvisor.co.uk/Profile/D862CEsaraw,Sara W wrote a review Oct 2022,Sara W,,5 contributions,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r863698606-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Just excellent ,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 2 Nov 2022",Responded 2 Nov 2022,"Excellent!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read how much you had an excellent time staying with us.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"Great hotel - thoroughly recommended! Centrally located, the rooms are specious, nicely decorated and contain everything you need for a few days’ stay. The reception area is smart and welcoming and the staff were friendly and helpful. Everything we could ask for and suited our relatively large party’s needs perfectly!",,https://www.tripadvisor.co.uk/Profile/Nomad56910566871,emma wrote a review Oct 2022,emma,"London, United Kingdom",4 contributions,2 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r863428085-Bristol_Marriott_Royal_Hotel-Bristol_England.html,A great hotel,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 2 Nov 2022",Responded 2 Nov 2022,"Great!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read how much you enjoyed staying with us we are lucky to be in such an amazing location.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"Excellent location in the centre by the cathedral and docks.   Superior room was fair - a little dated but a very comfortable bed and a Nespresso machine. Slept very well. Bathroom was fine but no bath and small shower. Mini bar was an empty fridge.   Staff on reception very pleasant and welcoming.   The breakfast feels very three star; not what I would expect of a higher end Marriott. Crowded buffet. Only filter coffee. Not a relaxing place.  They need to up their game on this.   Car park was full so I had to park by the docks. Lots of poorly parked cars taking up two spaces or 4 by 4s which can’t fit into the very narrow spaces; they need to look into this.   No lounge for higher elite Bonvoy holders. Not much recognition of status. “1,000 points”.",,https://www.tripadvisor.co.uk/Profile/GSUKKENT,GSUKKENT wrote a review Oct 2022,GSUKKENT,"London, United Kingdom",173 contributions,132 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r862930993-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Cannot fault the location,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 3 Oct 2022",Responded 3 Oct 2022,"Dear GSUKKENT  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear the positive aspects of your stay and thank you for sharing some areas we can improve on.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again in the near future",
"Great location grand reception. Spacious junior suite room. Lovely view of cathedral and Wills building.  Room a bit tired. Bathroom definitely needs upgrade, very dated. Photo showed 2 sinks but only one. Breakfast good but only filter coffee available. Staff very helpful. Probably the best large hotel in Bristol in this area. Bristol needs more choice and competition to improve the standards.",,https://www.tripadvisor.co.uk/Profile/marieoxford32,Marie Oxford 32 wrote a review Sept 2022,Marie Oxford 32,,14 contributions,4 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r862568359-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Not bad. Great location.,Date of stay: September 2022,,,,
"We were meeting up with friends weve not seen for sometime.  Stayed here, it was lovely the bar was nice for a few drinks, but then we booked at the steakhouse on Kings Street for a meal. Then cocktails in the bar opposite the hotel.  The room was lovely, considering we were in the centre of the city it was so quiet and the blackout curtains were great. No noise from the neighbours so good solid walls.  Decor was lovely, and air conditioning to. Lovely stay reasonably priced for Bristol.",,https://www.tripadvisor.co.uk/Profile/ChrissyB334,Chrissy B wrote a review Sept 2022,Chrissy B,"Exeter, United Kingdom",16 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r862214136-Bristol_Marriott_Royal_Hotel-Bristol_England.html,One night stay,Date of stay: September 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 2 Nov 2022",Responded 2 Nov 2022,"One night!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read how much you enjoyed staying with us.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"I guess we prefer smaller hotels so should have known what to expect here.  We found the public areas rather cold (literally and metaphorically) while our room on the 4th floor was airless and the bed was too hard for us. It overlooked the city; had I known, I would have asked for a river view. The breakfast was alright - a large buffet selection.  We enjoyed dinner at Miller and Carter - see separate review. Parking here is very easy and a big asset for the hotel.  Its  situation is perfect for sightseeing in Bristol.  But, it isn’t cheap!",,https://www.tripadvisor.co.uk/Profile/Googly2010,Googly2010 wrote a review Sept 2022,Googly2010,"Tonbridge, United Kingdom",814 contributions,361 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r861792769-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"OK, but too big a hotel for us",Date of stay: September 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 27 Sept 2022",Responded 27 Sept 2022,"On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear the positive aspects of your stay and sorry you found the hotel too big for your preference.    We appreciate you taking the time to share your feedback, and we look forward to seeing you again in the near future",
Booked a taxi and waited 15 minutes taxi turns up and drives off  Re booked another taxi and waited 40 minutes and still nothing  One receptionist really tried and other receptionist couldn’t be bothered  Top quality hotel £170 a room you expect better service for a hotel this size,,https://www.tripadvisor.co.uk/Profile/martinknight86,martinknight86 wrote a review Sept 2022,martinknight86,"Swansea County, United Kingdom",128 contributions,34 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r861531769-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Poor rubbish taxi service,Date of stay: September 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 27 Sept 2022",Responded 27 Sept 2022," On behalf of the entire hotel team, we want to thank you for sharing your review staying at the Bristol Marriott Royal Hotel.  We will pass on your comments to the taxi company directly.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again in the near future.",
"We decided last minute to stay the night in Bristol after a shopping day. We couldn’t have received a warmer welcome from Kim, she was so accommodating, kind and just such a credit to the hotel. Safe to say we shall be returning next time we are in Bristol. Lovely sized rooms, comfortable beds and the hotel decor is just beautiful. Thank you Kim and team!",,https://www.tripadvisor.co.uk/Profile/Tashxgreenx,Tash wrote a review Sept 2022,Tash,,12 contributions,12 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r860949605-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Such a lovely hotel with lovely staff,Date of stay: September 2022,,,,
"At best a three star hotel.    The positives:  Comfortable bed Clean room Nice building from the outside City centre location  The negatives:  Inadequate staffing on reception- lengthy wait to check in  The breakfast service is very poor - being asked a room number on three occasions is excessive- but having to ask repeatedly for a hot drink is unacceptable  The hotel is dimly lit The room was not a four star one.   Poorly lit.  No minibar.   Bad lighting in the bathroom - hard to shave when one side of your face is, through the hotel’s design, in total darkness  On arrival I was told that the only room of the standard I booked was in the lower ground floor - yes - the basement.  That dingy room overlooked the staff smoking area - a table filled by an overflowing dirty ashtray",,https://www.tripadvisor.co.uk/Profile/jonathanhW9814SA,Jonathan H wrote a review Sept 2022,Jonathan H,"Royal Tunbridge Wells, United Kingdom",13 contributions,16 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r859865351-Bristol_Marriott_Royal_Hotel-Bristol_England.html,A poor excuse for a Marriott,Date of stay: September 2022,,,,
Lovely welcome by Hannah. Fabulous location by the cathedral. This is a great hotel to choose when staying in Bristol. Very close to Old Town and to quayside as well. Beautiful interior. This certainly was one of our best Marriot stays.,,https://www.tripadvisor.co.uk/Profile/P6270WWcatherined,Catherine D wrote a review Sept 2022,Catherine D,,3 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r859735727-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Great short stay,Date of stay: September 2022,,,,
"We have stayed at this hotel on many occasions and have always enjoyed the experience. It is perfectly located for local sightseeing activities and is close to many good bars and restaurants. The building is stylish and welcoming and the bedrooms are clean, comfortable and well equipped. The reception staff are consistently helpful, friendly and efficient, as are the bar and restaurant staff.",,https://www.tripadvisor.co.uk/Profile/stockie58,stockie58 wrote a review Sept 2022,stockie58,"Manchester, United Kingdom",5 contributions,2 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r858938399-Bristol_Marriott_Royal_Hotel-Bristol_England.html,One of our favourite hotels in the UK,Date of stay: August 2022,,,,
Stayed for 3 nights as a family of 3 - great room overlooking the street and didn’t have a problem with noise from the street.  Parking can be a bit tight - and finding the entrance initially across college green but reasonably priced through the hotel - don’t pay in the car park as I did to comply with the notices which don’t seem to mention hotel guests. Breakfast in Miller and Carter was good and well organised. Servicing of the rooms was first rate - all in all a great experience.  Do check your charges if you check out online - I was charged twice effectively but soon sorted out through email.,,https://www.tripadvisor.co.uk/Profile/MarkcM2015,MarkcM2015 wrote a review Aug 2022,MarkcM2015,"Milton Keynes, United Kingdom",49 contributions,59 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r857553499-Bristol_Marriott_Royal_Hotel-Bristol_England.html,First Rate,Date of stay: August 2022,,,,
I stayed at this hotel several years ago and it had (still has) a fabulous swimming pool in the basement.  Sadly it's now been closed and drained.  Don't know if there's a leak or if they are just penny-pinching.  It seems the Marriott Bristol Royal is now in a race to the bottom.  I won't be staying again.,,https://www.tripadvisor.co.uk/Profile/Relay,Relay wrote a review Aug 2022,Relay,"Weybridge, United Kingdom",83 contributions,126 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r857372948-Bristol_Marriott_Royal_Hotel-Bristol_England.html,No Pool.,Date of stay: August 2022,,,,
Always a warm welcome from the reception staff and bar tenders. The rooms are always perfectly clean and in great condition.  Breakfast as always is spot on. Perfect location to visit the bars and restaurants of Bristol. Would highly recommend.,,https://www.tripadvisor.co.uk/Profile/Sraw1980,Sraw wrote a review Aug 2022,Sraw,"Preston, United Kingdom",42 contributions,59 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r857206125-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Best hotel in Bristol,Date of stay: August 2022,,,,
"Love this hotel.  Right in the city centre with College Green to the front and the Cathedral to the left. Bristol is a buzzing city til the early hours, every single day, so many great restaurants and cafes. You're literally 2 minutes walk from the Hippodrome too, and, similarly the quayside. The second you walk into the hotel it's serene and beautiful. The staff are friendly and very helpful Have stayed 6 times now due to having a daughter doing 5 years at the Uni. Will no doubt go again before she graduates and possibly several more times if she gets her first job down there too Love the terrace looking at the cathedral, so peaceful, you'd not know you were in the heart of the city .  Great place for a beer or cocktail when the weather's good, although we sought the shady",,https://www.tripadvisor.co.uk/Profile/I8532MOnigelp,Nigel P wrote a review Aug 2022,Nigel P,,2 contributions,4 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r855013981-Bristol_Marriott_Royal_Hotel-Bristol_England.html,One of our happy places,Date of stay: August 2022,,,,
Stayed at the Marriott royal for a last minute ‘date night’. Requested additional foam and feather pillows and early check-in on arrival which we were provided with. The hotel is immaculate and stunningly presented (it even smells amazing). Room service is miller and carter and the service was speedy and food delicious. It’s an added bonus to have such a lovely restaurant just down stairs. Lovely areas to have a drink whether you want intimate or more bar lively atmosphere. Staff very welcoming and professional. They really took their time at check-in which made you feel important. Didn’t feel rushed and were helpful with recommendations of local eatery’s. The rooms are very spacious and the bed so comfortable. Large TV and tea and coffee making facilities. We traveled into the,,https://www.tripadvisor.co.uk/Profile/sazel1981,sazel1981 wrote a review Aug 2022,sazel1981,"Cardiff, United Kingdom",3 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r854589377-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Beautiful 5* hotel,Date of stay: August 2022,,,,
This is a lovely hotel to stay in. Location is great. Staff are polite and helpful. Rooms are comfortable. Facilities and extras are good too. I have stayed at this hotel a few times now and planning to stay again in September.,,https://www.tripadvisor.co.uk/Profile/carolpR1884IO,Carol P wrote a review Aug 2022,Carol P,,2 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r854311919-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Pleasant stay for a course,Date of stay: June 2022,,,,
"Beautiful but by far the worst I have ever stayed in.  On the journey home I realised I had left two dresses in the wardrobe. I was told the housekeeping dept. Would call me back. 24 hours later I receive a call to say there were no dresses. Except there was as I had left them there. She said she would call back the following day and never did. Neither dress was expensive but as I liked them it was quite annoying that they had clearly been taken by someone and assuming the rooms are cleared between guests it could only have been the housekeeping.    Two weeks later we also received a parking notice for £60, after we had paid the parking at reception upon check in.  Pick somewhere better & more trustworthy!",,https://www.tripadvisor.co.uk/Profile/NeedleinaHaystack,NeedleinaHaystack wrote a review Aug 2022,NeedleinaHaystack,"Bedford, United Kingdom",20 contributions,14 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r853219974-Bristol_Marriott_Royal_Hotel-Bristol_England.html,The worst hotel,Date of stay: June 2022,,,,
"I had a really good stay here recently, lovely big room - really quiet and I had a great sleep which I rarely mange to get in hotels.  The hotel was in a perfect central location.  One nice little touch was that the bar / drinks area weren't that expensive at all - made a lovely change from most hotel prices!",,https://www.tripadvisor.co.uk/Profile/B5949SYrobl,Rob L wrote a review Aug 2022,Rob L,,4 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r853198359-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Great stay in a central location,Date of stay: August 2022,,,,
"There is no service in the hotel. Think of it like a Weatherspoons pub. Not that I've been in one for the last 17 years.  I booked 5 rooms for a family event and have never been spoken to with such contempt or attitude as I have at this place. I will be taking this higher up the food chain at Marriott.   Firstly, even before I arrived, two of the five rooms had randomly been cancelled for no apparent reason. We arrived with multiple bags as we'd been travelling for a month and was told that the doorman had gone home as it was past check-in time. I didn't see a doorman the whole entire visit.   We were then told that we couldn't access the balcony area as there was an event on. When I pointed out we also had an event on, I was told that the smokers in the group should smoke",,https://www.tripadvisor.co.uk/Profile/931rishim,Rishi M wrote a review Aug 2022,Rishi M,,12 contributions,16 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r852589962-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Avoid. Avoid. Avoid.,Date of stay: July 2022,,,,
"We absolutely loved this hotel. The bedroom was very spacious, with a very comfy bed. Clean and well decorated. Lovely big bathroom with double shower. Staff and service was impeccable. Food excellent. Great location. Will definitely be visiting again.",,https://www.tripadvisor.co.uk/Profile/472annabels,Annabel S wrote a review Aug 2022,Annabel S,,1 contribution,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r852506183-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Short visit,Date of stay: July 2022,,,,
"We recently stayed in the Royal Marriott Bristol. It was a comfortable night stay, bedroom clean and beds comfy. However we did have dinner there and the food was not great. Table service was poor. Overall customer service was only alright and not overly attentive. For the cost of a night stay I would expect a lot more.",,https://www.tripadvisor.co.uk/Profile/SmcEmc1980,Eileen wrote a review Jul 2022,Eileen,,1 contribution,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r850126488-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Short stay,Date of stay: July 2022,,,,
